Field,Source,ra,dec,SCont,taupeak,sigma-tau,EW,e_EW,NH,e_NH,fH,lim,Ts,e_Ts
0111-7314,011049-731428,17.7069,-73.2412,321.62,0.7,0.03,10.8,0.2,5,0.5,1.11,,252.3,23.4
0111-7314,011056-731404,17.7369,-73.2346,44.05,1.6,0.11,22.4,0.7,5.2,0.4,1.14,,126.3,11.2
0111-7314,011047-731400,17.6989,-73.2334,27.35,1.7,0.14,26.3,0.9,5.1,0.5,1.15,,106.7,11.7
0111-7314,011132-730209,17.886,-73.0361,66.3,2.2,0.11,22.8,0.7,5.6,0.6,1.3,,135.1,14.1
0111-7314,010919-725600,17.3314,-72.9334,21.14,3.8,0.35,1.1,2,5.1,0.4,1.08,>,476,
0115-7322,011628-731438,19.1207,-73.2441,51.98,3.9,0.07,14.9,0.4,5.4,0.4,1.31,,197.7,14.5
0115-7322,011432-732142,18.6364,-73.3619,99.8,6.7,0.04,17.1,0.2,6,0.6,1.53,,193.6,17.9
0115-7322,011049-731427,17.7067,-73.241,83.32,0.6,0.06,5.9,0.4,5,0.5,1.07,,463.4,51.5
0119-7106,011919-710523,19.8317,-71.0897,51.53,1.4,0.26,14.9,1.5,1.1,0.2,1.04,,39.5,8.8
0119-7106,011917-710537,19.8237,-71.0939,70.04,2,0.19,0.5,1.1,1.1,0.2,1.04,>,184.3,
0124-7351,012348-735033,20.9518,-73.8427,31.2,3.9,0.28,22.2,1.8,2,0.3,1.15,,49.7,8.5
0124-7351,012350-735042,20.9587,-73.8451,34.41,1.5,0.25,29.5,1.5,1.9,0.3,1.08,,36,5.3
0124-7351,012323-735606,20.8486,-73.9352,28.41,2.4,0.26,30.9,1.6,1.5,0.2,1.08,,26.6,4.2
0130-7333,012930-733310,22.3758,-73.553,552.03,0.2,0.06,-1.3,0.4,1.5,0.4,1,>,779,
0130-7333,013032-731740,22.6345,-73.2946,41.07,7.7,0.78,17.6,5.8,2.1,0.4,1.05,,65.8,25.5
0130-7333,013228-734123,23.1205,-73.6899,41.83,4.4,0.79,10,4.4,1,0.5,1.06,>,41.3,
0130-7333,013215-733902,23.0637,-73.6508,42.35,3.9,0.81,-25.6,3.9,1.1,0.6,1.02,>,52.7,
0130-7333,012931-733318,22.3799,-73.5551,34.46,5.1,0.51,-0.6,2.5,1.6,0.4,1.11,>,119.8,
0130-7333,013213-733905,23.0569,-73.6515,17.97,5.5,1.07,-23.2,6.6,1.1,0.6,1.02,>,31.3,
0130-7333,012629-732714,21.6222,-73.454,70.79,5.8,0.54,3.7,2.3,3.3,0.4,1.23,>,263.4,
0130-7333,012639-731501,21.6666,-73.2505,48.08,9.4,0.51,20.6,2.8,2.9,0.4,1.06,,77.8,15.8
0130-7333,013147-734942,22.9482,-73.8283,19.21,5.1,1.06,55.4,7.4,1.8,0.3,1.03,,17.5,4.2
0130-7333,012924-733152,22.3506,-73.5311,40.9,6,1,3.9,6.3,1.3,0.3,1.02,>,37.1,
0130-7333,013243-734413,23.1822,-73.7371,33.9,4.9,0.65,11.5,3.7,1.2,0.5,1.09,,55,31.7
